,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
47,45,Female,Master's,Director of Marketing,16,180000,UK,Welsh
48,38,Male,PhD,Senior Scientist,11,120000,Australia,Asian
49,25,Male,Bachelor's,Help Desk Analyst,0,35000,USA,Asian
50,51,Female,Bachelor's,Customer Service Manager,22,130000,China,Korean
51,33,Male,Master's,Business Intelligence Analyst,7,85000,Australia,Australian
52,40,Female,Bachelor's,Event Coordinator,12,60000,China,White
53,47,Male,Master's,VP of Finance,19,200000,Australia,Asian
54,29,Female,Bachelor's,Graphic Designer,3,50000,Canada,Black
55,36,Male,Bachelor's,Sales Manager,9,95000,China,Korean
56,27,Female,Master's,UX Researcher,2,65000,Canada,White
57,43,Male,PhD,Senior Engineer,17,140000,USA,Hispanic
58,30,Female,Bachelor's,Social Media Manager,4,55000,Canada,White
59,35,Male,Master's,Product Manager,7,105000,Canada,Asian
60,51,Female,Master's,Director of Operations,23,170000,USA,African American
61,29,Male,Bachelor's,Marketing Analyst,3,50000,China,Chinese
62,40,Female,Bachelor's,HR Manager,12,80000,China,Korean
63,47,Male,PhD,Senior Data Scientist,21,180000,China,White
64,26,Male,Bachelor's,Junior Accountant,1,35000,Australia,Australian
65,38,Female,Master's,Digital Marketing Manager,10,90000,China,Korean
66,46,Male,Bachelor's,IT Manager,19,120000,Australia,Australian
67,31,Female,Bachelor's,Customer Service Representative,5,45000,Canada,Asian
68,34,Male,Master's,Business Development Manager,8,90000,Canada,Asian
69,49,Female,Master's,Senior Financial Analyst,18,150000,Canada,White
70,33,Male,Bachelor's,Web Developer,6,65000,USA,Hispanic
71,39,Female,Bachelor's,Recruiter,11,70000,USA,Asian
72,45,Male,PhD,Research Director,16,190000,UK,Mixed
73,28,Male,Bachelor's,Technical Support Specialist,2,40000,China,Korean
74,42,Female,Master's,Creative Director,14,120000,Canada,Black
75,37,Male,Bachelor's,Project Manager,10,95000,USA,Asian
76,50,Female,Bachelor's,Operations Manager,22,160000,USA,White
77,32,Male,Master's,Senior Software Engineer,6,100000,USA,African American
78,48,Female,Master's,Human Resources Director,20,180000,Canada,Black
79,30,Female,Bachelor's,Content Marketing Manager,3,55000,Australia,White
80,36,Male,Bachelor's,Technical Recruiter,8,70000,UK,Asian
81,41,Female,Master's,Data Analyst,13,80000,USA,White
82,25,Male,Bachelor's,Sales Representative,0,30000,Australia,Asian
83,52,Male,PhD,Chief Technology Officer,24,250000,Canada,Black
84,29,Female,Bachelor's,Junior Designer,2,40000,Australia,Asian
85,34,Female,Master's,Financial Advisor,10,95000,UK,White
86,27,Male,Bachelor's,Junior Account Manager,2,45000,Canada,White
87,40,Female,Bachelor's,HR Generalist,15,80000,USA,Hispanic
88,46,Male,Master's,Senior Project Manager,21,135000,Canada,Asian
89,31,Female,Bachelor's,Marketing Coordinator,6,55000,Australia,Asian
90,36,Male,PhD,Principal Scientist,11,120000,UK,Mixed
91,29,Female,Bachelor's,Sales Associate,3,40000,China,White
92,43,Male,Bachelor's,Supply Chain Manager,18,105000,UK,Welsh
93,52,Female,Master's,Senior Marketing Manager,25,170000,China,Chinese
94,33,Male,Bachelor's,Business Analyst,7,75000,Australia,Australian
95,39,Female,Bachelor's,Training Specialist,12,65000,USA,African American
96,47,Male,PhD,Research Scientist,22,160000,Australia,Asian
97,26,Male,Bachelor's,Junior Software Developer,1,35000,China,White
98,38,Female,Master's,Public Relations Manager,10,90000,UK,Asian
99,45,Male,Bachelor's,Operations Analyst,20,110000,China,Chinese
100,31,Female,Bachelor's,Event Coordinator,5,45000,Australia,Asian
101,35,Male,Master's,Product Marketing Manager,8,95000,China,White
102,49,Female,Master's,Senior HR Manager,19,150000,Australia,White
103,33,Male,Bachelor's,Junior Web Developer,5,50000,Canada,Asian
104,39,Female,Master's,Senior Project Coordinator,13,80000,UK,Welsh
105,44,Male,PhD,Chief Data Officer,16,220000,USA,African American
106,30,Female,Bachelor's,Digital Content Producer,3,50000,UK,White
107,36,Male,Bachelor's,IT Support Specialist,7,60000,USA,Asian
108,41,Female,Master's,Senior Marketing Analyst,14,100000,USA,White
109,28,Male,Bachelor's,Customer Success Manager,2,40000,USA,Hispanic
110,42,Female,Master's,Senior Graphic Designer,15,110000,USA,Asian
111,37,Male,Bachelor's,Software Project Manager,9,95000,UK,White
112,50,Female,Bachelor's,Supply Chain Analyst,22,130000,UK,Welsh
113,32,Male,Master's,Senior Business Analyst,6,90000,USA,Asian
114,23,Female,Bachelor's,Junior Marketing Analyst,0.5,35000,USA,White
115,31,Male,Master's,Senior Financial Analyst,6,95000,Australia,Asian
116,40,Female,Bachelor's,Office Manager,15,65000,USA,White
117,48,Male,PhD,Principal Engineer,20,170000,USA,Hispanic
118,29,Female,Bachelor's,Junior HR Generalist,3,45000,Australia,Australian
119,35,Male,Master's,Senior Product Manager,10,120000,Canada,White
120,42,Female,Bachelor's,Sales Manager,17,100000,China,Korean
121,53,Male,Master's,Director of Marketing,25,180000,UK,Mixed
122,33,Female,Bachelor's,Junior Operations Analyst,5,50000,Australia,Australian
123,38,Male,Bachelor's,Customer Service Manager,11,80000,China,White
124,44,Female,PhD,Senior Scientist,16,140000,UK,Mixed
125,26,Male,Bachelor's,Junior Accountant,2,40000,UK,White
126,37,Female,Master's,Senior HR Generalist,9,95000,USA,African American
127,45,Male,Bachelor's,Sales Operations Manager,18,110000,UK,White
128,32,Female,Bachelor's,Marketing Coordinator,4,50000,USA,White
129,34,Male,Master's,Senior Software Developer,8,105000,Canada,White
130,50,Female,Master's,Director of Operations,21,160000,UK,White
131,29,Male,Bachelor's,Junior Web Designer,3,45000,China,White
132,40,Female,Master's,Senior Training Specialist,12,100000,Canada,Black
133,47,Male,PhD,Senior Research Scientist,22,160000,USA,Hispanic
134,27,Male,Bachelor's,Junior Sales Representative,1,35000,UK,Mixed
135,39,Female,Bachelor's,Administrative Assistant,10,55000,Canada,Black
136,46,Male,Master's,Senior Project Manager,19,140000,Canada,Black
137,30,Female,Bachelor's,Junior Marketing Manager,4,50000,Canada,White
138,36,Male,Bachelor's,Junior Data Analyst,7,60000,Australia,Asian
139,43,Female,Master's,Senior Product Marketing Manager,14,120000,Australia,White
140,28,Male,Bachelor's,Junior Business Analyst,2,40000,USA,White
141,41,Female,Master's,Senior Marketing Manager,13,110000,Australia,Australian
142,33,Male,Bachelor's,Junior Software Developer,5,50000,USA,Hispanic
143,47,Male,Bachelor's,Senior Sales Manager,20,135000,China,White
144,25,Female,Master's,Junior Marketing Specialist,1.5,40000,Australia,Asian
145,34,Male,Bachelor's,Senior Business Analyst,8,90000,Australia,Asian
146,42,Female,PhD,Senior Data Scientist,16,150000,China,Chinese
147,31,Male,Bachelor's,Junior Project Manager,4,60000,UK,Welsh
148,38,Female,Bachelor's,Senior Accountant,10,80000,USA,African American
149,45,Male,Master's,Director of Sales,19,175000,Canada,Black
150,29,Female,Bachelor's,Junior Recruiter,3,45000,Australia,Australian
151,36,Male,Master's,Senior Business Development Manager,11,120000,Canada,Black
152,43,Female,PhD,Senior Product Designer,18,140000,Australia,Asian
153,26,Male,Bachelor's,Junior Customer Support Specialist,2,35000,USA,Asian
154,37,Female,Master's,Senior Marketing Analyst,9,95000,Canada,White
155,44,Male,Bachelor's,Senior IT Support Specialist,14,110000,USA,African American
156,32,Female,Bachelor's,Junior Financial Analyst,5,50000,USA,Asian
157,33,Male,Master's,Senior Operations Manager,7,115000,China,Korean
158,51,Female,PhD,Director of Human Resources,23,185000,China,Chinese
159,28,Male,Bachelor's,Junior Software Engineer,2,40000,Australia,White
160,39,Female,Bachelor's,Senior Sales Representative,12,90000,USA,Asian
161,48,Male,Master's,Director of Product Management,21,175000,USA,Asian
162,30,Female,Bachelor's,Junior Copywriter,3,45000,UK,Mixed
163,35,Male,Bachelor's,Senior Marketing Coordinator,7,80000,China,White
164,41,Female,Master's,Senior Human Resources Manager,13,120000,China,Korean
165,27,Male,Bachelor's,Junior Business Development Associate,1.5,35000,China,White
166,40,Female,Bachelor's,Senior Account Manager,14,110000,Australia,Australian
167,46,Male,PhD,Senior Researcher,18,150000,Canada,Black
168,31,Female,Bachelor's,Junior HR Coordinator,4,50000,China,Korean
169,34,Male,Master's,Senior Software Engineer,9,105000,China,Korean
170,50,Female,Master's,Director of Finance,20,180000,Australia,Australian
171,29,Male,Bachelor's,Junior Marketing Coordinator,2,40000,Canada,Asian
172,,,,,,,UK,White
173,43,Male,Bachelor's,Senior Project Manager,16,140000,UK,White
174,26,Female,Master's,Junior Data Scientist,1.5,45000,Canada,Asian
175,35,Male,Bachelor's,Senior Operations Analyst,7,85000,China,White
176,42,Female,PhD,Senior Marketing Manager,18,140000,UK,Asian
177,31,Male,Bachelor's,Junior Accountant,4,50000,UK,Welsh
178,38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000,UK,Asian
179,46,Male,Master's,Director of Operations,20,170000,USA,Asian
180,29,Female,Bachelor's,Junior Sales Representative,2,40000,UK,Welsh
181,37,Male,Master's,Senior Business Analyst,9,105000,China,Chinese
182,44,Female,PhD,Senior UX Designer,15,145000,USA,Hispanic
183,27,Male,Bachelor's,Junior Product Manager,2,40000,USA,Hispanic
184,36,Female,Bachelor's,Senior Marketing Specialist,8,85000,USA,African American
185,43,Male,Bachelor's,Senior IT Project Manager,14,130000,China,Chinese
186,33,Female,Master's,Senior Financial Analyst,6,95000,Canada,White
187,34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000,UK,Mixed
188,50,Female,PhD,Director of Sales and Marketing,22,180000,China,Korean
189,28,Male,Bachelor's,Junior Operations Analyst,1.5,35000,UK,Welsh
190,39,Female,Bachelor's,Senior Account Executive,12,95000,USA,African American
191,47,Male,Master's,Director of Business Development,19,170000,Australia,Asian
192,30,Female,Bachelor's,Junior Social Media Manager,3,45000,Australia,Australian
193,34,Male,Bachelor's,Senior Product Manager,7,95000,China,Chinese
194,40,Female,Master's,Senior Human Resources Specialist,13,120000,UK,Welsh
195,28,Male,Bachelor's,Junior Business Analyst,2,40000,USA,African American
196,41,Female,Bachelor's,Senior Marketing Coordinator,11,90000,Canada,Asian
197,45,Male,PhD,Senior Data Analyst,17,155000,UK,Asian
198,32,Female,Bachelor's,Junior Account Manager,5,55000,Australia,Asian
199,35,Male,Master's,Senior Software Developer,9,110000,Canada,Asian
200,49,Female,Master's,Director of Human Capital,21,180000,UK,Mixed
201,30,Male,Bachelor's,Junior Advertising Coordinator,3,45000,UK,White
202,44,Male,Bachelor's,Senior Sales Manager,16,130000,USA,Asian
203,27,Female,Master's,Junior UX Designer,1.5,45000,USA,Hispanic
204,36,Male,Bachelor's,Senior Accountant,7,90000,Canada,White
205,41,Female,PhD,Senior Marketing Director,17,160000,UK,Mixed
206,31,Male,Bachelor's,Junior HR Generalist,4,50000,China,Chinese
207,39,Female,Bachelor's,Senior Operations Manager,10,120000,Australia,Asian
208,47,Male,Master's,Director of Finance,20,170000,Australia,Australian
209,30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,China,Korean
210,38,Male,Master's,Senior IT Consultant,9,110000,China,White
211,45,Female,PhD,Senior Product Designer,15,150000,China,Chinese
212,28,Male,Bachelor's,Junior Business Development Associate,2,40000,USA,Asian
213,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,USA,White
214,44,Male,Bachelor's,Senior Software Engineer,14,130000,China,Chinese
215,34,Female,Master's,Senior Financial Advisor,6,100000,UK,Welsh
216,35,Male,Bachelor's,Senior Project Coordinator,9,95000,Canada,White
217,50,Female,PhD,Director of Operations,22,180000,Australia,Australian
218,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000,UK,Asian
219,40,Female,Bachelor's,Senior Sales Representative,12,100000,China,Chinese
220,48,Male,Master's,Director of Marketing,19,170000,USA,Hispanic
221,31,Female,Bachelor's,Junior Social Media Specialist,3,45000,UK,Welsh
222,33,Male,Bachelor's,Senior Product Development Manager,7,100000,USA,Hispanic
223,42,Female,Master's,Senior Human Resources Manager,13,140000,China,White
224,28,Male,Bachelor's,Junior Financial Analyst,2,40000,Australia,Australian
225,40,Female,Bachelor's,Senior Marketing Manager,11,105000,UK,White
226,46,Male,PhD,Senior Data Scientist,18,160000,Canada,White
227,33,Female,Bachelor's,Junior Operations Manager,5,70000,Australia,Asian
228,37,Male,Master's,Senior Software Architect,9,120000,Australia,Australian
229,51,Female,Master's,Director of Human Resources,21,190000,USA,Hispanic
230,30,Male,Bachelor's,Junior Marketing Specialist,3,45000,Canada,Black
231,43,Male,Bachelor's,Senior Project Manager,15,120000,Canada,Asian
232,27,Female,Master's,Junior Research Scientist,1.5,50000,China,White
233,35,Male,Bachelor's,Senior Operations Analyst,8,85000,Canada,White
234,42,Female,PhD,Senior Marketing Manager,13,140000,Canada,White
235,32,Male,Bachelor's,Junior Sales Representative,3,45000,Australia,White
236,37,Female,Bachelor's,Senior Financial Analyst,9,100000,UK,Welsh
237,45,Male,Master's,Senior Software Developer,16,140000,Australia,Asian
238,33,Female,Bachelor's,Junior Operations Analyst,5,70000,Canada,Asian
239,39,Male,Bachelor's,Senior Marketing Specialist,10,120000,Canada,Black
240,44,Female,PhD,Senior HR Manager,18,160000,Canada,White
241,29,Male,Bachelor's,Junior Business Analyst,1.5,40000,Australia,Australian
242,38,Female,Bachelor's,Senior Product Manager,10,120000,China,Korean
243,46,Male,PhD,Senior Data Analyst,19,150000,UK,Asian
244,34,Female,Bachelor's,Junior Marketing Analyst,6,70000,USA,Asian
245,36,Male,Bachelor's,Senior Operations Manager,8,95000,USA,White
246,49,Female,Master's,Director of Marketing,21,180000,Canada,White
247,31,Male,Bachelor's,Junior Financial Analyst,3,50000,Canada,Black
248,41,Female,Bachelor's,Senior Project Coordinator,11,95000,USA,African American
249,47,Male,Master's,Director of Operations,20,170000,Canada,White
250,30,Female,Bachelor's,Junior Marketing Coordinator,2,40000,USA,White
251,38,Male,Master's,Senior IT Consultant,9,110000,Australia,Australian
252,45,Female,PhD,Senior Product Designer,15,150000,China,Korean
253,28,Male,Bachelor's,Junior Business Development Associate,2,40000,USA,Asian
254,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,Canada,White
255,44,Male,Bachelor's,Senior Software Engineer,14,130000,Australia,Australian
256,34,Female,Master's,Senior Financial Advisor,6,100000,Australia,Australian
257,35,Male,Bachelor's,Senior Project Coordinator,9,95000,UK,Asian
258,50,Female,PhD,Director of Operations,22,180000,Australia,White
259,29,Male,Bachelor's,Junior Business Operations Analyst,1.5,350,USA,Hispanic
260,,,,,,,Canada,White
261,37,Female,Bachelor's,Senior Financial Manager,10,120000,USA,African American
262,46,Male,PhD,Senior Data Scientist,18,160000,China,Chinese
263,31,Female,Bachelor's,Junior Marketing Coordinator,3,50000,Australia,White
264,42,Male,Bachelor's,Senior Operations Manager,12,110000,Canada,Black
265,29,Female,Bachelor's,Junior Sales Representative,1.5,40000,USA,African American
266,36,Male,Bachelor's,Senior Marketing Specialist,8,95000,UK,White
267,44,Female,Master's,Senior HR Specialist,15,140000,China,Chinese
268,33,Male,Bachelor's,Junior Operations Manager,4,60000,China,Korean
269,39,Female,Bachelor's,Senior Marketing Coordinator,9,110000,China,White
270,45,Male,PhD,Senior Data Engineer,16,150000,Australia,Asian
271,32,Female,Bachelor's,Junior Marketing Manager,4,60000,UK,Welsh
272,37,Male,Bachelor's,Senior Financial Analyst,8,90000,Australia,Australian
273,47,Female,Master's,Director of Marketing,20,180000,UK,Mixed
274,30,Male,Bachelor's,Junior Business Analyst,2,40000,Australia,Australian
275,38,Female,Bachelor's,Senior Project Manager,9,120000,UK,Asian
276,46,Male,PhD,Senior Data Analyst,17,160000,UK,Asian
277,34,Female,Bachelor's,Junior Financial Analyst,5,70000,UK,Mixed
278,36,Male,Bachelor's,Senior Product Manager,8,95000,Australia,Asian
279,49,Female,Master's,Director of Operations,21,180000,UK,Mixed
280,31,Male,Bachelor's,Junior Operations Analyst,3,50000,USA,Hispanic
281,41,Female,Bachelor's,Senior Project Coordinator,11,95000,Canada,Black
282,47,Male,Master's,Director of Marketing,19,170000,Canada,White
283,29,Female,Bachelor's,Junior Business Development Associate,1.5,35000,Australia,White
284,35,Male,Bachelor's,Senior Financial Manager,9,100000,Canada,White
285,44,Female,PhD,Senior Product Designer,15,150000,China,White
286,33,Male,Bachelor's,Junior Business Analyst,4,60000,Canada,Black
287,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,China,Chinese
288,44,Male,Bachelor's,Senior Software Engineer,13,130000,Canada,White
289,32,Male,Bachelor's,Junior Product Manager,4,65000,China,Chinese
290,38,Female,Bachelor's,Senior Business Analyst,10,110000,Australia,Asian
291,49,Male,PhD,Director of Operations,21,180000,USA,Asian
292,29,Female,Bachelor's,Junior Marketing Specialist,2,40000,Australia,Australian
293,35,Male,Bachelor's,Senior Business Development Manager,7,90000,USA,Hispanic
294,45,Female,Master's,Senior HR Manager,14,140000,UK,Welsh
295,33,Male,Bachelor's,Junior Financial Analyst,4,60000,China,Korean
296,40,Female,Bachelor's,Senior Marketing Manager,12,130000,Australia,Asian
297,44,Male,PhD,Senior Data Scientist,16,160000,Australia,Asian
298,30,Female,Bachelor's,Junior Operations Coordinator,2,40000,Australia,White
299,37,Male,Bachelor's,Senior Marketing Analyst,9,100000,UK,Mixed
300,48,Female,Master's,Director of HR,20,180000,USA,Hispanic
301,31,Male,Bachelor's,Junior Project Manager,3,55000,Canada,Black
302,38,Female,Bachelor's,Senior Operations Coordinator,9,120000,Canada,Asian
303,45,Male,PhD,Senior Data Engineer,16,150000,Canada,Black
304,33,Female,Bachelor's,Junior Marketing Manager,5,70000,UK,Mixed
305,36,Male,Bachelor's,Senior Business Analyst,8,95000,China,Chinese
306,49,Female,Master's,Director of Marketing,21,180000,China,White
307,31,Male,Bachelor's,Junior Operations Analyst,3,50000,Canada,Black
308,42,Female,Bachelor's,Senior Project Manager,12,120000,Australia,White
309,47,Male,Master's,Director of Marketing,19,170000,UK,White
310,29,Female,Bachelor's,Junior Business Development Associate,1.5,35000,Australia,White
311,35,Male,Bachelor's,Senior Financial Manager,9,100000,Australia,Asian
312,44,Female,PhD,Senior Product Designer,15,150000,Australia,Asian
313,33,Male,Bachelor's,Junior Business Analyst,4,60000,UK,White
314,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,Canada,Black
315,44,Male,Bachelor's,Senior Software Engineer,13,130000,Australia,White
316,34,Female,Master's,Senior Financial Advisor,6,80000,Canada,White
317,36,Male,Bachelor's,Senior Marketing Specialist,8,95000,Canada,White
318,30,Female,Bachelor's,Junior HR Coordinator,2,40000,UK,Welsh
319,37,Male,Bachelor's,Senior Business Development Manager,10,120000,China,Chinese
320,45,Female,Master's,Senior Marketing Manager,16,160000,Canada,Black
321,32,Male,Bachelor's,Junior Financial Advisor,4,65000,USA,Hispanic
322,39,Female,Bachelor's,Senior Project Manager,12,130000,Canada,White
323,47,Male,PhD,Director of Engineering,20,180000,China,White
324,29,Female,Bachelor's,Junior Marketing Analyst,2,40000,Australia,Australian
325,36,Male,Bachelor's,Senior Operations Manager,9,100000,UK,Asian
326,43,Female,PhD,Senior Data Scientist,15,150000,USA,African American
327,32,Male,Bachelor's,Junior Marketing Coordinator,3,55000,Canada,White
328,38,Female,Bachelor's,Senior Business Analyst,10,110000,China,White
329,48,Male,Master's,Director of Marketing,21,180000,China,Chinese
330,31,Female,Bachelor's,Junior Business Development Associate,3,50000,China,Korean
331,40,Male,Bachelor's,Senior Financial Analyst,12,130000,Australia,White
332,45,Female,PhD,Senior UX Designer,16,160000,Australia,Asian
333,33,Male,Bachelor's,Junior Product Manager,4,60000,Canada,Asian
334,36,Female,Bachelor's,Senior Marketing Manager,8,95000,China,Korean
335,47,Male,Master's,Director of Operations,19,170000,China,Chinese
336,29,Female,Bachelor's,Junior Project Manager,2,40000,UK,Mixed
337,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,UK,Asian
338,44,Female,PhD,Senior Business Analyst,15,150000,UK,White
339,33,Male,Bachelor's,Junior Marketing Specialist,5,70000,UK,Welsh
340,35,Female,Bachelor's,Senior Financial Manager,8,90000,Australia,White
341,43,Male,Master's,Director of Marketing,18,170000,China,Korean
342,31,Female,Bachelor's,Junior Financial Analyst,3,50000,UK,Asian
343,41,Male,Bachelor's,Senior Product Manager,14,150000,Canada,White
344,44,Female,PhD,Senior Data Engineer,16,160000,Canada,Asian
345,33,Male,Bachelor's,Junior Business Analyst,4,60000,Canada,Black
346,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,Canada,Asian
347,45,Male,Master's,Director of Engineering,19,180000,China,Chinese
348,28,Female,Bachelor's,Junior Operations Manager,1,35000,Canada,Asian
349,36,Male,Bachelor's,Senior Business Development Manager,8,110000,USA,Asian
350,44,Female,PhD,Senior Data Scientist,16,160000,China,Chinese
351,31,Male,Bachelor's,Junior Marketing Coordinator,3,55000,Canada,Black
352,38,Female,Bachelor's,Senior Business Analyst,10,110000,Canada,Black
353,48,Male,Master's,Director of Marketing,21,180000,Canada,Asian
354,31,Female,Bachelor's,Junior Business Development Associate,3,50000,Canada,Black
355,40,Male,Bachelor's,Senior Financial Analyst,12,130000,USA,White
356,45,Female,PhD,Senior UX Designer,16,160000,UK,Asian
357,33,Male,Bachelor's,Junior Product Manager,4,60000,Canada,White
358,36,Female,Bachelor's,Senior Marketing Manager,8,95000,UK,Welsh
359,47,Male,Master's,Director of Operations,19,170000,UK,Welsh
360,29,Female,Bachelor's,Junior Project Manager,2,40000,Australia,Australian
361,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,China,Chinese
362,44,Female,PhD,Senior Business Analyst,15,150000,UK,Welsh
363,33,Male,Bachelor's,Junior Marketing Specialist,5,70000,Canada,White
364,35,Female,Bachelor's,Senior Financial Manager,8,90000,China,Chinese
365,43,Male,Master's,Director of Marketing,18,170000,Canada,Asian
366,31,Female,Bachelor's,Junior Financial Analyst,3,50000,Canada,Black
367,41,Male,Bachelor's,Senior Product Manager,14,150000,China,Chinese
368,44,Female,PhD,Senior Data Engineer,16,160000,Australia,White
369,33,Male,Bachelor's,Junior Business Analyst,4,60000,UK,Welsh
370,35,Female,Bachelor's,Senior Marketing Analyst,8,85000,China,White
371,43,Male,Master's,Director of Operations,19,170000,China,White
372,29,Female,Bachelor's,Junior Project Manager,2,40000,USA,Asian
373,34,Male,Bachelor's,Senior Operations Coordinator,7,90000,China,White
374,44,Female,PhD,Senior Business Analyst,15,150000,UK,White
375,31,Male,Master's,Data Scientist,6,160000,Australia,White
376,28,Female,Bachelor's,Software Engineer,3,125000,Canada,Black
377,26,Male,Master's,Product Manager,2,120000,China,White
378,27,Female,Bachelor's,Data Analyst,2,110000,UK,Mixed
379,30,Male,PhD,Data Scientist,5,180000,China,Korean
380,29,Female,Bachelor's,Software Engineer,4,140000,Australia,White
381,32,Male,Bachelor's,Product Manager,7,170000,USA,Asian
382,25,Female,Master's,Data Analyst,1,100000,China,White
383,33,Male,PhD,Data Scientist,8,190000,UK,Mixed
384,31,Female,Bachelor's,Software Engineer,6,155000,UK,Welsh
385,28,Male,Master's,Product Manager,3,130000,Canada,Black
386,30,Female,Bachelor's,Data Analyst,5,145000,USA,African American
387,27,Male,PhD,Data Scientist,2,115000,USA,African American
388,29,Female,Bachelor's,Software Engineer,4,140000,USA,Hispanic
389,34,Male,Bachelor's,Product Manager,9,185000,China,Chinese
390,25,Female,Master's,Data Analyst,1,100000,Australia,Australian
391,33,Male,PhD,Data Scientist,8,190000,Canada,Black
392,31,Female,Bachelor's,Software Engineer,6,155000,UK,Welsh
393,28,Male,Master's,Product Manager,3,130000,Australia,White
394,30,Female,Bachelor's,Data Analyst,5,145000,Australia,White
395,28,Male,Bachelor's,Software Engineer,3,125000,China,Korean
396,26,Female,Master's,Product Manager,2,120000,USA,White
397,27,Male,Bachelor's,Data Analyst,2,110000,USA,African American
398,30,Female,PhD,Data Scientist,5,180000,China,Korean
399,29,Male,Bachelor's,Software Engineer,4,140000,USA,Hispanic
400,32,Male,Bachelor's,Product Manager,7,170000,China,Chinese
401,25,Female,Master's,Data Analyst,1,100000,Australia,Asian
402,33,Male,PhD,Data Scientist,8,190000,Canada,Asian
403,31,Female,Bachelor's,Software Engineer,6,155000,Australia,Australian
404,28,Male,Master's,Product Manager,3,130000,Canada,Asian
405,30,Female,Bachelor's,Data Analyst,5,145000,Canada,Asian
406,27,Male,PhD,Data Scientist,2,115000,UK,Asian
407,29,Female,Bachelor's,Software Engineer,4,140000,Australia,White
408,34,Male,Bachelor's,Product Manager,9,185000,Canada,White
409,25,Female,Master's,Data Analyst,1,100000,China,White
410,33,Male,PhD,Data Scientist,8,190000,UK,White
411,31,Female,Bachelor's,Software Engineer,6,155000,Australia,Australian
